"EXTF";700;21;"Buchungsstapel";12;20251204135828359;;"JE";"JERA2FIBU";"";2006873;2605;20250101;4;20251001;20251031;"Amazon 2025/10";JE;1;0;0;"EUR";;"";;;"";;;"";""
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext;Postensperre;Diverse Adressnummer;Geschäftspartnerbank;Sachverhalt;Zinssperre;Beleglink;Beleginfo - Art 1;Beleginfo - Inhalt 1;Beleginfo - Art 2;Beleginfo - Inhalt 2;Beleginfo - Art 3;Beleginfo - Inhalt 3;Beleginfo - Art 4;Beleginfo - Inhalt 4;Beleginfo - Art 5;Beleginfo - Inhalt 5;Beleginfo - Art 6;Beleginfo - Inhalt 6;Beleginfo - Art 7;Beleginfo - Inhalt 7;Beleginfo - Art 8;Beleginfo - Inhalt 8;KOST1 - Kostenstelle;KOST2 - Kostenstelle;Kost-Menge;EU-Land und UStID (Bestimmung);EU-Steuersatz (Bestimmung);Abw. Versteuerungsart;Sachverhalt L+L;Funktionsergänzung L+L;BU 49 Hauptfunktionstyp;BU 49 Hauptfunktionsnummer;BU 49 Funktionsergänzung;Zusatzinformation - Art 1;Zusatzinformation- Inhalt 1;Zusatzinformation - Art 2;Zusatzinformation- Inhalt 2;Zusatzinformation - Art 3;Zusatzinformation- Inhalt 3;Zusatzinformation - Art 4;Zusatzinformation- Inhalt 4;Zusatzinformation - Art 5;Zusatzinformation- Inhalt 5;Zusatzinformation - Art 6;Zusatzinformation- Inhalt 6;Zusatzinformation - Art 7;Zusatzinformation- Inhalt 7;Zusatzinformation - Art 8;Zusatzinformation- Inhalt 8;Zusatzinformation - Art 9;Zusatzinformation- Inhalt 9;Zusatzinformation - Art 10;Zusatzinformation- Inhalt 10;Zusatzinformation - Art 11;Zusatzinformation- Inhalt 11;Zusatzinformation - Art 12;Zusatzinformation- Inhalt 12;Zusatzinformation - Art 13;Zusatzinformation- Inhalt 13;Zusatzinformation - Art 14;Zusatzinformation- Inhalt 14;Zusatzinformation - Art 15;Zusatzinformation- Inhalt 15;Zusatzinformation - Art 16;Zusatzinformation- Inhalt 16;Zusatzinformation - Art 17;Zusatzinformation- Inhalt 17;Zusatzinformation - Art 18;Zusatzinformation- Inhalt 18;Zusatzinformation - Art 19;Zusatzinformation- Inhalt 19;Zusatzinformation - Art 20;Zusatzinformation- Inhalt 20;Stück;Gewicht;Zahlweise;Forderungsart;Veranlagungsjahr;Zugeordnete Fälligkeit;Skontotyp;Auftragsnummer;Buchungstyp;Ust-Schlüssel (Anzahlungen);EU-Land (Anzahlungen);Sachverhalt L+L (Anzahlungen);EU-Steuersatz (Anzahlungen);Erlöskonto (Anzahlungen);Herkunft-Kz;Leerfeld;KOST-Datum;Mandatsreferenz;Skontosperre;Gesellschaftername;Beteiligtennummer;Identifikationsnummer;Zeichnernummer;Postensperre bis;Bezeichnung SoBil-Sachverhalt;Kennzeichen SoBil-Buchung;Festschreibung;Leistungsdatum;Datum Zuord.Steuerperiode;Fälligkeit;Generalumkehr (GU);Steuersatz;Land;Abrechnungsreferenz;BVV-Postion;EU-Land und UStID (Ursprung);EU-Steuersatz (Ursprung);
25,40;"S";"";;;"";1815;69001;"";0110;"XRE-3695";"AU2025-76647";0,00;"XRE-3695 ,Jonas Artikel bezahlt ,Jonas Artikel-Steuer bezahl";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
4,54;"H";"";;;"";1815;6770;"401";0110;"XRE-3695";"AU2025-76647";0,00;",Jonas Amazon Kommission ,Jonas Amazon Kommission Versand";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
132,90;"S";"";;;"";1811;69001;"";0110;"XRE-4029";"AU2025-76790";0,00;"XRE-4029 Gianola,Giancarlo Artikel bezahlt Gianola,Giancarlo";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
20,96;"H";"";;;"";1811;6770;"401";0110;"XRE-4029";"AU2025-76790";0,00;"Gianola,Giancarlo Amazon Kommission Gianola,Giancarlo Amazon";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
28,12;"S";"";;;"";1811;69001;"";0110;"XRE-4045";"AU2025-76964";0,00;"XRE-4045 Bagno U. Conte di Aprea Genoveffa & C S.a.s. Bagno,";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
4,91;"H";"";;;"";1811;6770;"401";0110;"XRE-4045";"AU2025-76964";0,00;"Bagno U. Conte di Aprea Genoveffa & C S.a.s. Bagno,Conte Ama";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
31,40;"S";"";;;"";1813;69001;"";0110;"XRE-4058";"AU2025-77106";0,00;"XRE-4058 Marie,Benjamin Artikel bezahlt Marie,Benjamin Artik";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
4,93;"H";"";;;"";1813;6770;"401";0110;"XRE-4058";"AU2025-77106";0,00;"Marie,Benjamin Amazon Kommission Marie,Benjamin Amazon Kommi";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
43,94;"S";"";;;"";1813;69001;"";0110;"XRE-4026";"AU2025-77087";0,00;"XRE-4026 SARL EGRON Restaurant Au Bord de leau,Egron Artikel";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
7,97;"H";"";;;"";1813;6770;"401";0110;"XRE-4026";"AU2025-77087";0,00;"SARL EGRON Restaurant Au Bord de leau,Egron Amazon Kommissio";;"";;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;"";;"";;;;;;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;;"";2025;;;"";"";;"";;;;"";"";;"";;"";;"";"";;"";;0;;;;"";;"";;;"";;
