kMessageId;PostedDateTime;TransactionType;OrderID;MerchantOrderID;AmountType;AmountDescription;Amount;QuantityPurchased;SellerSKU;MarketplaceName;SettlementID
3167733578;Wed Oct 01 2025 09:18:38 GMT+0000 (GMT);Order;028-0366737-4611515;;ItemPrice;Principal;12.64;;;Amazon.de;25671855822
3167733579;Wed Oct 01 2025 09:18:38 GMT+0000 (GMT);Order;028-0366737-4611515;;ItemPrice;Tax;2.4;;;Amazon.de;25671855822
3167733580;Wed Oct 01 2025 09:18:38 GMT+0000 (GMT);Order;028-0366737-4611515;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167733581;Wed Oct 01 2025 09:18:38 GMT+0000 (GMT);Order;028-0366737-4611515;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167733582;Wed Oct 01 2025 09:18:38 GMT+0000 (GMT);Order;028-0366737-4611515;;ItemFees;Commission;-2.32;;;Amazon.de;25671855822
3167733583;Wed Oct 01 2025 09:18:38 GMT+0000 (GMT);Order;028-0366737-4611515;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167733662;Wed Oct 01 2025 09:47:50 GMT+0000 (GMT);Order;305-0257261-7551507;;ItemPrice;Principal;37.39;;;Amazon.de;25671855822
3167733663;Wed Oct 01 2025 09:47:50 GMT+0000 (GMT);Order;305-0257261-7551507;;ItemPrice;Tax;7.48;;;Amazon.de;25671855822
3167733664;Wed Oct 01 2025 09:47:50 GMT+0000 (GMT);Order;305-0257261-7551507;;ItemPrice;Shipping;5.75;;;Amazon.de;25671855822
3167733665;Wed Oct 01 2025 09:47:50 GMT+0000 (GMT);Order;305-0257261-7551507;;ItemPrice;ShippingTax;1.15;;;Amazon.de;25671855822
3167733666;Wed Oct 01 2025 09:47:50 GMT+0000 (GMT);Order;305-0257261-7551507;;ItemFees;Commission;-6.87;;;Amazon.de;25671855822
3167733667;Wed Oct 01 2025 09:47:50 GMT+0000 (GMT);Order;305-0257261-7551507;;ItemFees;ShippingHB;-1.07;;;Amazon.de;25671855822
